# Author: eldar | Timeshtamp: 2021-06-01T15:47:24 | Plugin: rev.74-ef7de5f.. | OS: Linux-4.15.0-106-generic-x86_64-with-Ubuntu-18.04-bionic
'Наименование'                           'Стандарт'                     'Кол-во' 'Примечание'
'Вилка '                                 ''                             ''       ''
'СНП346-10ВП22-2-В'                      ' РЮМК.430420.011ТУ'           '2'      ''
'СНП401-16ВП21-4-1-2'                    ' РЮМК.430420.078ТУ'           '1'      ''
'СНП401-8ВП21-4-1-2'                     ' РЮМК.430420.078ТУ'           '2'      ''
'Диодные сборки'                         ''                             ''       ''
'2Д707АС9'                               ' аАО.339.583ТУ'               '5'      ''
'Дроссели'                               ''                             ''       ''
'ДФПК7,5-2/0,4'                          ' БКЮС.670109.002-01ТУ'        '1'      ''
'Конденсаторы'                           ''                             ''       ''
'К10-84в 2012М-50В-М47-33 пФ±10%-N-А'    ' ФЦТА.673516.016ТУ'           '2'      ''
'К10-84в 2012М-50В-Н20-4700 пФ±10%-N-А'  ' ФЦТА.673516.016ТУ'           '2'      ''
'К10-84в 3216М-25В-Н20-0,01 мкФ±10%-N-А' ' ФЦТА.673516.016ТУ'           '1'      ''
'К10-84в 3216М-25В-Н20-0,15 мкФ±10%-N-А' ' ФЦТА.673516.016ТУ'           '26'     ''
'К10-84в 3216М-25В-Н20-2,2 мкФ±10%-N-А'  ' ФЦТА.673516.016ТУ'           '1'      ''
'К10-84в 5750М-50В-Н90-2,2 мкФ-N-А'      ' ФЦТА.673516.016ТУ'           '4'      ''
'К53-68"C"-25В-10,0 мкФ±10%'             ' АЖЯР.673546.007ТУ'           '6'      ''
'К53-68"D"-25В-1,0 мкФ±10%'              ' АЖЯР.673546.007ТУ'           '3'      ''
'К53-68"D"-25В-10,0 мкФ±10%'             ' АЖЯР.673546.007ТУ'           '2'      ''
'К53-68"D"-25В-15,0 мкФ±10%'             ' АЖЯР.673546.007ТУ'           '1'      ''
'К53-68"E"-50В-10,0 мкФ±10%'             ' АЖЯР.673546.007ТУ'           '2'      ''
'Микросхемы'                             ''                             ''       ''
'1335ЕН5П'                               ' АЕЯР.431420.809ТУ'           '1'      ''
'140УД31АТ1 ВК'                          ' АЕЯР.431130.171-17ТУ'        '3'      ''
'1986ВЕ92У1'                             ' АЕЯР.431290.711ТУ'           '1'      ''
'5321EM06B5'                             ' АЕНВ.431420.461-02ТУ'        '1'      ''
'5321ЕН03Г5'                             ' АЕНВ.432420.461-02ТУ'        '1'      ''
'5321ЕН04Г4'                             ' АЕНВ.431420.461-02ТУ'        '1'      ''
'5559ИН14АУ'                             ' АЕЯР.431230.652ТУ'           '1'      ''
'Модули электропитания'                  ''                             ''       ''
'МДМ3-1Е09МП'                            ' БКЯЮ.436630.001ТУ'           '1'      ''
'МДМ3-2Е1515МП'                          ' БКЯЮ.436630.001ТУ'           '1'      ''
'Резисторы'                              ''                             ''       ''
'Р1-8В-0,25-5,1 Ом±5%-Т-А-М'             ' ОЖ0.467.164ТУ'               '1'      ''
'Р1-8В-0,25-62 Ом±5%-Т-А-М'              ' ОЖ0.467.164ТУ'               '2'      ''
'Р1-8В-0,25-300 Ом±5%-Т-А-М'             ' ОЖ0.467.164ТУ'               '2'      ''
'Р1-8В-0,25-510 Ом±5%-Т-А-М'             ' ОЖ0.467.164ТУ'               '1'      ''
'Р1-8В-0,25-1 кОм±5%-Т-А-М'              ' ОЖ0.467.164ТУ'               '1'      ''
'Р1-8В-0,25-10 кОм±5%-Т-А-М'             ' ОЖ0.467.164ТУ'               '9'      ''
'Р1-8В-0,25-24 кОм±5%-Т-А-М'             ' ОЖ0.467.164ТУ'               '1'      ''
'Р1-8МП-0,25-1 кОм±1%-Ж-К-М'             ' ОЖ0.467.164ТУ'               '6'      ''
'Р1-8МП-0,25-1,78 кОм±1%-Ж-К-М'          ' ОЖ0.467.164ТУ'               '1'      ''
'Р1-8МП-0,25-5,11 кОм±1%-Ж-К-М'          ' ОЖ0.467.164ТУ'               '1'      ''
'Р1-8МП-0,25-6,19 кОм±1%-Ж-К-М'          ' ОЖ0.467.164ТУ'               '1'      ''
'Р1-8МП-0,25-9,09 кОм±1%-Ж-К-М'          ' ОЖ0.467.164ТУ'               '1'      ''
'Р1-8МП-0,25-10 кОм±1%-Ж-К-М'            ' ОЖ0.467.164ТУ'               '12'     ''
'Р1-8МП-0,25-20 кОм±1%-Ж-К-М'            ' ОЖ0.467.164ТУ'               '2'      ''
'Р1-8МП-0,25-30,1 кОм±1%-Ж-К-М'          ' ОЖ0.467.164ТУ'               '1'      ''
'Р1-8МП-0,25-51,1 кОм±1%-Ж-К-М'          ' ОЖ0.467.164ТУ'               '4'      ''
'Р1-8МП-0,25-51,1 кОм±1%-Ж-К-М'          ' ОЖ0.467.164ТУ'               '3'      ' 30,1 кОм; 51,1 кОм; 100 кОм'
'Р1-8МП-0,25-100 кОм±1%-Ж-К-М'           ' ОЖ0.467.164ТУ'               '3'      ''
'Р1-8МП-0,25-301 кОм±1%-Ж-К-М'           ' ОЖ0.467.164ТУ'               '1'      ''
'СП3-19a2-0,5-1 кОм±10%'                 ' ОЖ0.468.134ТУ'               '1'      ''
'СП3-19a2-0,5-47 кОм±10%'                ' ОЖ0.468.134ТУ'               '1'      ''
'Резонатор'                              ''                             ''       ''
'РК457-5ДС-16М'                          ' ТУ6321-011-07604008-07'      '1'      ''
'Розетка'                                ''                             ''       ''
'СНП346-10РП21-2-В'                      ' РЮМК.430420.011ТУ'           '1'      ''
'Стабилитроны'                           ''                             ''       ''
'Д818Е'                                  ' СМ3.362.025ТУ СМ3.362.083ГЧ' '1'      ''
'Транзисторы'                            ''                             ''       ''
'2Т664А9'                                ' аАО.339.559ТУ'               '1'      ''
'2Т665А9'                                ' аАО.339.559ТУ'               '1'      ''
